Using TensorFlow backend.
WARNING:tensorflow:From model_run.py:10: The name tf.enable_eager_execution is deprecated. Please use tf.compat.v1.enable_eager_execution instead.

Loaded chpn-p4 1/134
Loaded pathetique_1 2/134
Loaded bor_ps6 3/134
Loaded beethoven_les_adieux_2 4/134
Loaded debussy_cc_2 5/134
Loaded burg_perlen 6/134
Loaded beethoven_opus22_2 7/134
Loaded chpn-p16 8/134
Loaded brahms_opus117_2 9/134
Loaded bor_ps4 10/134
Loaded bor_ps5 11/134
Loaded chp_op18 12/134
Loaded burg_sylphen 13/134
Loaded burg_agitato 14/134
Loaded alb_esp1 15/134
Loaded alb_se2 16/134
Loaded burg_erwachen 17/134
Loaded chpn-p10 18/134
Loaded beethoven_les_adieux_1 19/134
Loaded chpn_op35_4 20/134
Loaded chpn-p17 21/134
Loaded alb_esp6 22/134
Loaded burg_trennung 23/134
Loaded chpn_op35_3 24/134
Loaded elise 25/134
Loaded chpn-p22 26/134
Loaded waldstein_1 27/134
Loaded burg_quelle 28/134
Loaded chpn_op25_e4 29/134
Loaded beethoven_hammerklavier_3 30/134
Loaded gra_esp_3 31/134
Loaded chpn-p24 32/134
Loaded chpn-p19 33/134
Loaded chpn_op53 34/134
Loaded alb_se8 35/134
Loaded chpn_op35_2 36/134
Loaded beethoven_hammerklavier_1 37/134
Loaded chpn_op10_e01 38/134
Loaded chpn_op66 39/134
Loaded chpn_op35_1 40/134
Loaded chpn-p1 41/134
Loaded DEB_PASS 42/134
Loaded beethoven_opus22_3 43/134
Loaded appass_3 44/134
Loaded waldstein_3 45/134
Loaded beethoven_opus10_3 46/134
Loaded brahms_opus1_3 47/134
Loaded chpn-p2 48/134
Loaded pathetique_2 49/134
Loaded deb_menu 50/134
Loaded beethoven_opus90_1 51/134
Loaded alb_se6 52/134
Loaded brahms_opus1_2 53/134
Loaded appass_1 54/134
Loaded DEB_CLAI 55/134
Loaded chpn-p15 56/134
Loaded br_im5 57/134
Loaded gra_esp_2 58/134
Loaded chpn-p23 59/134
Loaded chpn_op33_2 60/134
Loaded chpn_op7_2 61/134
Loaded beethoven_opus22_1 62/134
Loaded mond_1 63/134
Loaded gra_esp_4 64/134
Loaded alb_esp3 65/134
Loaded chpn_op25_e11 66/134
Loaded debussy_cc_4 67/134
Loaded chpn_op25_e2 68/134
Loaded burg_gewitter 69/134
Loaded chpn-p13 70/134
Loaded debussy_cc_3 71/134
Loaded chpn-p14 72/134
Loaded debussy_cc_6 73/134
Loaded appass_2 74/134
Loaded mond_2 75/134
Loaded ty_mai 76/134
Loaded chpn_op27_2 77/134
Loaded chpn_op7_1 78/134
Loaded beethoven_opus90_2 79/134
Loaded bor_ps2 80/134
Loaded waldstein_2 81/134
Loaded chpn-p8 82/134
Loaded beethoven_opus10_2 83/134
Loaded islamei 84/134
Loaded br_im2 85/134
Loaded chpn_op23 86/134
Loaded BR_IM6 87/134
Loaded chp_op31 88/134
Loaded beethoven_opus22_4 89/134
Loaded burg_geschwindigkeit 90/134
Loaded bach_847 91/134
Loaded chpn-p9 92/134
Loaded chpn-p11 93/134
Loaded brahms_opus1_1 94/134
Loaded chpn_op25_e12 95/134
Loaded beethoven_les_adieux_3 96/134
Loaded alb_esp2 97/134
Loaded bor_ps3 98/134
Loaded brahms_opus1_4 99/134
Loaded chpn_op25_e3 100/134
Loaded burg_spinnerlied 101/134
Loaded beethoven_hammerklavier_4 102/134
Loaded alb_esp5 103/134
Loaded chpn_op10_e05 104/134
Loaded alb_se4 105/134
Loaded alb_se5 106/134
Loaded alb_se1 107/134
Loaded alb_se7 108/134
Loaded brahms_opus117_1 109/134
Loaded chpn-p3 110/134
Loaded chpn-p6 111/134
Loaded bor_ps1 112/134
Loaded chpn_op27_1 113/134
Loaded beethoven_hammerklavier_2 114/134
Loaded chpn-p20 115/134
Loaded debussy_cc_1 116/134
Loaded beethoven_opus10_1 117/134
Loaded bach_850 118/134
Loaded chpn_op10_e12 119/134
Loaded chpn-p7 120/134
Loaded chpn-p12 121/134
Loaded mond_3 122/134
Loaded br_rhap 123/134
Loaded chpn_op25_e1 124/134
Loaded bor_ps7 125/134
Loaded bach_846 126/134
Loaded chpn-p18 127/134
Loaded pathetique_3 128/134
Loaded chpn-p5 129/134
Loaded deb_prel 130/134
Loaded alb_esp4 131/134
Loaded alb_se3 132/134
Loaded chpn-p21 133/134
Loaded chpn_op33_4 134/134
(160, 20, 7)
(5200, 20, 7)
2020-08-01 01:57:29.355634: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcuda.so.1
2020-08-01 01:57:29.574050: E tensorflow/stream_executor/cuda/cuda_driver.cc:318] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2020-08-01 01:57:29.574964: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (Cypher): /proc/driver/nvidia/version does not exist
2020-08-01 01:57:29.575898: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-08-01 01:57:29.628817: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2494365000 Hz
2020-08-01 01:57:29.630010: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x3191520 executing computations on platform Host. Devices:
2020-08-01 01:57:29.630036: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
Train on 5200 samples, validate on 160 samples
WARNING:tensorflow:From /home/resolution/.local/lib/python3.7/site-packages/tensorflow/python/ops/math_grad.py:1250: add_dispatch_support.<locals>.wrapper (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where
Epoch 1/300
2020-08-01 01:57:37.870584: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] constant folding failed: Invalid argument: Unsupported type: 21
2020-08-01 01:57:39.219644: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] constant folding failed: Invalid argument: Unsupported type: 21
2020-08-01 01:57:40.513796: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
5200/5200 [==============================] - 140s 27ms/sample - loss: 0.0307 - acc: 0.6258 - val_loss: 0.0181 - val_acc: 0.5562
Epoch 2/300
5200/5200 [==============================] - 131s 25ms/sample - loss: 0.0272 - acc: 0.6640 - val_loss: 0.0176 - val_acc: 0.5000
Epoch 3/300
5200/5200 [==============================] - 137s 26ms/sample - loss: 0.0262 - acc: 0.6625 - val_loss: 0.0180 - val_acc: 0.5188
Epoch 4/300
5200/5200 [==============================] - 107s 21ms/sample - loss: 0.0259 - acc: 0.6735 - val_loss: 0.0174 - val_acc: 0.5312
Epoch 5/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0257 - acc: 0.6731 - val_loss: 0.0178 - val_acc: 0.5750
Epoch 6/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0257 - acc: 0.6777 - val_loss: 0.0175 - val_acc: 0.5375
Epoch 7/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0255 - acc: 0.6777 - val_loss: 0.0176 - val_acc: 0.5188
Epoch 8/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0255 - acc: 0.6723 - val_loss: 0.0175 - val_acc: 0.5125
Epoch 9/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0254 - acc: 0.6750 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 10/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0254 - acc: 0.6731 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 11/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0253 - acc: 0.6760 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 12/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0253 - acc: 0.6750 - val_loss: 0.0174 - val_acc: 0.5437
Epoch 13/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0253 - acc: 0.6758 - val_loss: 0.0180 - val_acc: 0.5500
Epoch 14/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0252 - acc: 0.6827 - val_loss: 0.0173 - val_acc: 0.5375
Epoch 15/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0252 - acc: 0.6783 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 16/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0252 - acc: 0.6767 - val_loss: 0.0174 - val_acc: 0.5188
Epoch 17/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0252 - acc: 0.6758 - val_loss: 0.0175 - val_acc: 0.5125
Epoch 18/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0251 - acc: 0.6723 - val_loss: 0.0174 - val_acc: 0.5188
Epoch 19/300
5200/5200 [==============================] - 97s 19ms/sample - loss: 0.0251 - acc: 0.6779 - val_loss: 0.0174 - val_acc: 0.5125
Epoch 20/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0250 - acc: 0.6800 - val_loss: 0.0176 - val_acc: 0.5250
Epoch 21/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0251 - acc: 0.6710 - val_loss: 0.0174 - val_acc: 0.5000
Epoch 22/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0250 - acc: 0.6765 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 23/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0250 - acc: 0.6758 - val_loss: 0.0177 - val_acc: 0.4875
Epoch 24/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0250 - acc: 0.6788 - val_loss: 0.0174 - val_acc: 0.5188
Epoch 25/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0250 - acc: 0.6781 - val_loss: 0.0175 - val_acc: 0.5125
Epoch 26/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0250 - acc: 0.6773 - val_loss: 0.0174 - val_acc: 0.5188
Epoch 27/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0250 - acc: 0.6758 - val_loss: 0.0173 - val_acc: 0.5188
Epoch 28/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0249 - acc: 0.6800 - val_loss: 0.0174 - val_acc: 0.5125
Epoch 29/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0250 - acc: 0.6752 - val_loss: 0.0173 - val_acc: 0.5063
Epoch 30/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0249 - acc: 0.6771 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 31/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0249 - acc: 0.6740 - val_loss: 0.0174 - val_acc: 0.5063
Epoch 32/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0249 - acc: 0.6821 - val_loss: 0.0175 - val_acc: 0.5125
Epoch 33/300
5200/5200 [==============================] - 82s 16ms/sample - loss: 0.0249 - acc: 0.6808 - val_loss: 0.0175 - val_acc: 0.5000
Epoch 34/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0249 - acc: 0.6750 - val_loss: 0.0173 - val_acc: 0.5250
Epoch 35/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0249 - acc: 0.6790 - val_loss: 0.0176 - val_acc: 0.5125
Epoch 36/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0249 - acc: 0.6804 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 37/300
5200/5200 [==============================] - 96s 18ms/sample - loss: 0.0248 - acc: 0.6831 - val_loss: 0.0174 - val_acc: 0.5125
Epoch 38/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0248 - acc: 0.6765 - val_loss: 0.0175 - val_acc: 0.5063
Epoch 39/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0248 - acc: 0.6787 - val_loss: 0.0173 - val_acc: 0.4938
Epoch 40/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0248 - acc: 0.6790 - val_loss: 0.0176 - val_acc: 0.5250
Epoch 41/300
